rep_id	order	composition_factor_count	is_abelian	is_nonabelian_simple	structure
4418	1440	3	false	false	
4470	11520	6	false	false	
4471	11520	6	false	false	
4472	11520	6	false	false	
4495	12960	5	false	false	
4496	12960	5	false	false	
4497	12960	5	false	false	
4498	12960	5	false	false	
4499	12960	5	false	false	
4500	12960	5	false	false	
4538	504	1	false	true	PSL(2,8)
4539	504	1	false	true	PSL(2,8)
4545	1344	4	false	false	
4546	1344	4	false	false	
4549	1344	4	false	false	
4550	1344	4	false	false	
4617	1344	4	false	false	
4655	7200	4	false	false	
4656	7200	4	false	false	
4657	7200	4	false	false	
4658	7200	3	false	false	
4659	7200	3	false	false	
4660	7200	3	false	false	
4774	15360	9	false	false	
4775	15360	9	false	false	
4776	15360	9	false	false	
4777	15360	9	false	false	
4778	15360	9	false	false	
4779	15360	9	false	false	
4780	15360	9	false	false	
4781	15360	9	false	false	
4782	15360	9	false	false	
4783	15360	9	false	false	
4784	15360	9	false	false	
4785	15360	9	false	false	
4786	15360	9	false	false	
4787	15360	9	false	false	
4788	15360	9	false	false	
4789	15360	9	false	false	
4790	15360	9	false	false	
4791	15360	9	false	false	
4792	15360	9	false	false	
4793	15360	9	false	false	
4794	15360	9	false	false	
4835	20160	1	false	true	A8
4836	21600	2	false	false	
4837	21600	2	false	false	
4838	23040	9	false	false	
4839	23040	9	false	false	
4840	23040	9	false	false	
4841	23040	9	false	false	
4842	23040	9	false	false	
4843	23040	9	false	false	
4844	23040	9	false	false	
4845	504	1	false	true	PSL(2,8)
4846	2688	5	false	false	
4848	2880	6	false	false	
4860	10752	7	false	false	
4861	10752	7	false	false	
4879	23040	9	false	false	
4891	25920	1	false	true	O(5,3)
4892	3840	7	false	false	
5054	30720	10	false	false	
5130	46080	8	false	false	
5131	46080	8	false	false	
5132	46080	8	false	false	
5133	46080	8	false	false	
5134	46080	8	false	false	
5135	46080	8	false	false	
5136	46080	8	false	false	
5137	46080	8	false	false	
5403	3840	7	false	false	
5404	3840	7	false	false	
5405	3840	7	false	false	
5406	3840	7	false	false	
5407	3840	7	false	false	
5408	3840	7	false	false	
5409	3840	7	false	false	
5427	6048	1	false	true	PSU(3,3)
5478	2688	5	false	false	
5479	2688	5	false	false	
5510	11520	6	false	false	
5577	2688	5	false	false	
5578	2688	5	false	false	
5579	2688	5	false	false	
5683	7680	8	false	false	
5684	7680	8	false	false	
5685	7680	8	false	false	
5686	7680	8	false	false	
5687	7680	8	false	false	
5688	7680	8	false	false	
5689	7680	8	false	false	
5695	10752	7	false	false	
5696	10752	7	false	false	
5777	15360	9	false	false	
5778	15360	9	false	false	
5779	15360	9	false	false	
5780	15360	9	false	false	
5781	15360	9	false	false	
5782	15360	9	false	false	
5783	15360	9	false	false	
5784	15360	9	false	false	
5785	15360	9	false	false	
5786	15360	9	false	false	
5787	15360	9	false	false	
5788	15360	9	false	false	
5789	15360	9	false	false	
5790	15360	9	false	false	
5791	15360	9	false	false	
5792	15360	9	false	false	
5806	23040	9	false	false	
5807	23040	9	false	false	
5849	46080	8	false	false	
5850	46080	8	false	false	
5851	46080	8	false	false	
5852	46080	8	false	false	
5853	46080	8	false	false	
5854	46080	8	false	false	
5855	46080	8	false	false	
5856	46080	8	false	false	
5857	46080	8	false	false	
5858	46080	8	false	false	
5859	46080	8	false	false	
5860	46080	8	false	false	
5861	46080	8	false	false	
5862	46080	8	false	false	
5863	46080	8	false	false	
5864	46080	8	false	false	
5865	46080	8	false	false	
5866	46080	8	false	false	
5867	46080	8	false	false	
5868	46080	8	false	false	
5869	46080	8	false	false	
5870	46080	8	false	false	
5871	46080	8	false	false	
5872	46080	8	false	false	
5873	46080	8	false	false	
5874	46080	8	false	false	
5875	46080	8	false	false	
5876	46080	8	false	false	
5877	46080	8	false	false	
5878	46080	8	false	false	
5879	46080	8	false	false	
5880	46080	8	false	false	
5881	46080	8	false	false	
5882	46080	8	false	false	
5883	7680	8	false	false	
5884	15360	9	false	false	
5885	15360	9	false	false	
5886	61440	11	false	false	
5887	61440	11	false	false	
5888	61440	11	false	false	
5889	61440	11	false	false	
5890	61440	11	false	false	
5894	92160	11	false	false	
5895	122880	12	false	false	
5896	122880	12	false	false	
5897	122880	12	false	false	
5898	122880	12	false	false	
5899	122880	12	false	false	
5900	161280	7	false	false	
6810	60	1	false	true	A5
6811	60	1	false	true	A5
7052	120	2	false	false	
